,inaction,disengage,engage
0,-5.0,0.0,0.0
1,-6.666666666666667,0.0,0.0
2,-7.5,0.0,0.0
3,-7.8,0.0,0.0
4,-8.0,0.0,0.0
5,-8.142857142857142,0.0,0.0
6,-8.142857142857142,-4.5,0.0
7,-8.142857142857142,-4.333333333333333,0.0
8,-8.142857142857142,-4.333333333333333,0.0
9,-8.142857142857142,-4.333333333333333,-4.5
10,-8.142857142857142,-4.333333333333333,-4.666666666666667
11,-8.142857142857142,-4.333333333333333,-4.25
12,-8.142857142857142,-5.75,-4.25
13,-8.142857142857142,-5.6,-4.25
14,-8.142857142857142,-5.6,-4.25
15,-8.142857142857142,-5.6,-4.8
16,-8.142857142857142,-5.6,-4.5
17,-8.142857142857142,-5.6,-4.0
18,-8.142857142857142,-5.6,-4.375
19,-8.142857142857142,-5.6,-4.222222222222222
20,-8.142857142857142,-5.6,-3.9
21,-8.142857142857142,-6.166666666666667,-3.9
22,-8.142857142857142,-5.857142857142857,-3.9
23,-8.142857142857142,-5.857142857142857,-3.9
24,-8.375,-5.857142857142857,-3.9
25,-8.555555555555555,-5.857142857142857,-3.9
26,-8.7,-5.857142857142857,-3.9
27,-8.7,-5.857142857142857,-4.454545454545454
28,-8.7,-5.857142857142857,-4.583333333333333
29,-8.7,-5.857142857142857,-4.538461538461538
30,-8.7,-6.25,-4.538461538461538
31,-8.7,-6.0,-4.538461538461538
32,-8.7,-6.0,-4.538461538461538
33,-8.7,-6.1,-4.538461538461538
34,-8.7,-5.7272727272727275,-4.538461538461538
35,-8.7,-5.7272727272727275,-4.538461538461538
36,-8.545454545454545,-5.7272727272727275,-4.538461538461538
37,-8.416666666666666,-5.7272727272727275,-4.538461538461538
38,-8.307692307692308,-5.7272727272727275,-4.538461538461538
39,-8.307692307692308,-5.7272727272727275,-4.714285714285714
40,-8.307692307692308,-5.7272727272727275,-4.6
41,-8.307692307692308,-5.7272727272727275,-4.375
42,-8.307692307692308,-5.833333333333333,-4.375
43,-8.307692307692308,-5.538461538461538,-4.375
44,-8.307692307692308,-5.538461538461538,-4.375
45,-8.307692307692308,-5.538461538461538,-4.705882352941177
46,-8.307692307692308,-5.538461538461538,-4.777777777777778
47,-8.307692307692308,-5.538461538461538,-4.7368421052631575
48,-8.307692307692308,-5.538461538461538,-4.9
49,-8.307692307692308,-5.538461538461538,-4.857142857142857
50,-8.307692307692308,-5.538461538461538,-4.7272727272727275
51,-8.307692307692308,-5.642857142857143,-4.7272727272727275
52,-8.307692307692308,-5.4,-4.7272727272727275
53,-8.307692307692308,-5.4,-4.7272727272727275
54,-8.307692307692308,-5.5,-4.7272727272727275
55,-8.307692307692308,-5.294117647058823,-4.7272727272727275
56,-8.307692307692308,-5.294117647058823,-4.7272727272727275
57,-8.307692307692308,-5.5,-4.7272727272727275
58,-8.307692307692308,-5.421052631578948,-4.7272727272727275
59,-8.307692307692308,-5.421052631578948,-4.7272727272727275
60,-8.307692307692308,-5.6,-4.7272727272727275
