,inaction,disengage,engage
0,1.0,0.0,0.0
1,2.0,0.0,0.0
2,3.0,0.0,0.0
3,3.0,1.0,0.0
4,3.0,2.0,0.0
5,3.0,3.0,0.0
6,3.0,3.0,1.0
7,3.0,3.0,2.0
8,3.0,3.0,3.0
9,3.0,4.0,3.0
10,3.0,5.0,3.0
11,3.0,6.0,3.0
12,3.0,6.0,4.0
13,3.0,6.0,5.0
14,3.0,6.0,6.0
15,3.0,7.0,6.0
16,3.0,8.0,6.0
17,3.0,9.0,6.0
18,4.0,9.0,6.0
19,5.0,9.0,6.0
20,6.0,9.0,6.0
21,6.0,10.0,6.0
22,6.0,11.0,6.0
23,6.0,12.0,6.0
24,6.0,12.0,7.0
25,6.0,12.0,8.0
26,6.0,12.0,9.0
27,6.0,13.0,9.0
28,6.0,14.0,9.0
29,6.0,15.0,9.0
30,7.0,15.0,9.0
31,8.0,15.0,9.0
32,9.0,15.0,9.0
33,9.0,16.0,9.0
34,9.0,17.0,9.0
35,9.0,18.0,9.0
36,9.0,18.0,10.0
37,9.0,18.0,11.0
38,9.0,18.0,12.0
39,10.0,18.0,12.0
40,11.0,18.0,12.0
41,12.0,18.0,12.0
42,12.0,19.0,12.0
43,12.0,20.0,12.0
44,12.0,21.0,12.0
45,12.0,21.0,13.0
46,12.0,21.0,14.0
47,12.0,21.0,15.0
48,12.0,22.0,15.0
49,12.0,23.0,15.0
50,12.0,24.0,15.0
51,12.0,24.0,16.0
52,12.0,24.0,17.0
53,12.0,24.0,18.0
54,12.0,25.0,18.0
55,12.0,26.0,18.0
56,12.0,27.0,18.0
57,13.0,27.0,18.0
58,14.0,27.0,18.0
59,15.0,27.0,18.0
60,15.0,28.0,18.0
61,15.0,29.0,18.0
62,15.0,30.0,18.0
63,15.0,30.0,19.0
64,15.0,30.0,20.0
65,15.0,30.0,21.0
66,15.0,31.0,21.0
67,15.0,32.0,21.0
68,15.0,33.0,21.0
69,16.0,33.0,21.0
70,17.0,33.0,21.0
71,18.0,33.0,21.0
72,18.0,34.0,21.0
73,18.0,35.0,21.0
74,18.0,36.0,21.0
75,18.0,36.0,22.0
76,18.0,36.0,23.0
77,18.0,36.0,24.0
78,18.0,37.0,24.0
79,18.0,38.0,24.0
80,18.0,39.0,24.0
81,18.0,39.0,25.0
82,18.0,39.0,26.0
83,18.0,39.0,27.0
84,18.0,40.0,27.0
85,18.0,41.0,27.0
86,18.0,42.0,27.0
87,19.0,42.0,27.0
88,20.0,42.0,27.0
89,21.0,42.0,27.0
90,21.0,42.0,28.0
91,21.0,42.0,29.0
92,21.0,42.0,30.0
93,21.0,43.0,30.0
94,21.0,44.0,30.0
