,inaction,disengage,engage
0,1.0,0.0,0.0
1,2.0,0.0,0.0
2,3.0,0.0,0.0
3,3.0,1.0,0.0
4,3.0,2.0,0.0
5,3.0,3.0,0.0
6,3.0,3.0,1.0
7,3.0,3.0,2.0
8,3.0,3.0,3.0
9,3.0,3.0,4.0
10,3.0,3.0,5.0
11,3.0,3.0,6.0
12,3.0,4.0,6.0
13,3.0,5.0,6.0
14,3.0,6.0,6.0
15,3.0,6.0,7.0
16,3.0,6.0,8.0
17,3.0,6.0,9.0
18,3.0,7.0,9.0
19,3.0,8.0,9.0
20,3.0,9.0,9.0
21,3.0,9.0,10.0
22,3.0,9.0,11.0
23,3.0,9.0,12.0
24,4.0,9.0,12.0
25,5.0,9.0,12.0
26,6.0,9.0,12.0
27,6.0,10.0,12.0
28,6.0,11.0,12.0
29,6.0,12.0,12.0
30,6.0,12.0,13.0
31,6.0,12.0,14.0
32,6.0,12.0,15.0
33,6.0,12.0,16.0
34,6.0,12.0,17.0
35,6.0,12.0,18.0
36,6.0,13.0,18.0
37,6.0,14.0,18.0
38,6.0,15.0,18.0
39,7.0,15.0,18.0
40,8.0,15.0,18.0
41,9.0,15.0,18.0
42,9.0,15.0,19.0
43,9.0,15.0,20.0
44,9.0,15.0,21.0
45,9.0,16.0,21.0
46,9.0,17.0,21.0
47,9.0,18.0,21.0
48,9.0,18.0,22.0
49,9.0,18.0,23.0
50,9.0,18.0,24.0
51,9.0,18.0,25.0
52,9.0,18.0,26.0
53,9.0,18.0,27.0
54,9.0,19.0,27.0
55,9.0,20.0,27.0
56,9.0,21.0,27.0
57,9.0,21.0,28.0
58,9.0,21.0,29.0
59,9.0,21.0,30.0
60,10.0,21.0,30.0
61,11.0,21.0,30.0
62,12.0,21.0,30.0
63,12.0,22.0,30.0
64,12.0,23.0,30.0
65,12.0,24.0,30.0
66,12.0,24.0,31.0
67,12.0,24.0,32.0
68,12.0,24.0,33.0
69,12.0,25.0,33.0
70,12.0,26.0,33.0
71,12.0,27.0,33.0
72,12.0,27.0,34.0
73,12.0,27.0,35.0
74,12.0,27.0,36.0
75,13.0,27.0,36.0
76,14.0,27.0,36.0
77,15.0,27.0,36.0
78,15.0,28.0,36.0
79,15.0,29.0,36.0
80,15.0,30.0,36.0
81,15.0,30.0,37.0
82,15.0,30.0,38.0
83,15.0,30.0,39.0
84,15.0,31.0,39.0
85,15.0,32.0,39.0
86,15.0,33.0,39.0
87,16.0,33.0,39.0
88,17.0,33.0,39.0
89,18.0,33.0,39.0
90,18.0,33.0,40.0
91,18.0,33.0,41.0
92,18.0,33.0,42.0
93,18.0,33.0,43.0
94,18.0,33.0,44.0
