,inaction,disengage,engage
0,1.0,0.0,0.0
1,2.0,0.0,0.0
2,3.0,0.0,0.0
3,3.0,1.0,0.0
4,3.0,2.0,0.0
5,3.0,3.0,0.0
6,3.0,3.0,1.0
7,3.0,3.0,2.0
8,3.0,3.0,3.0
9,3.0,4.0,3.0
10,3.0,5.0,3.0
11,3.0,6.0,3.0
12,3.0,6.0,4.0
13,3.0,6.0,5.0
14,3.0,6.0,6.0
15,3.0,7.0,6.0
16,3.0,8.0,6.0
17,3.0,9.0,6.0
18,4.0,9.0,6.0
19,5.0,9.0,6.0
20,6.0,9.0,6.0
21,6.0,10.0,6.0
22,6.0,11.0,6.0
23,6.0,12.0,6.0
24,6.0,12.0,7.0
25,6.0,12.0,8.0
26,6.0,12.0,9.0
27,6.0,13.0,9.0
28,6.0,14.0,9.0
29,6.0,15.0,9.0
30,7.0,15.0,9.0
31,8.0,15.0,9.0
32,9.0,15.0,9.0
33,9.0,15.0,10.0
34,9.0,15.0,11.0
35,9.0,15.0,12.0
36,9.0,16.0,12.0
37,9.0,17.0,12.0
38,9.0,18.0,12.0
39,10.0,18.0,12.0
40,11.0,18.0,12.0
41,12.0,18.0,12.0
42,12.0,18.0,13.0
43,12.0,18.0,14.0
44,12.0,18.0,15.0
45,12.0,19.0,15.0
46,12.0,20.0,15.0
47,12.0,21.0,15.0
48,12.0,21.0,16.0
49,12.0,21.0,17.0
50,12.0,21.0,18.0
51,12.0,21.0,19.0
52,12.0,21.0,20.0
53,12.0,21.0,21.0
54,12.0,22.0,21.0
55,12.0,23.0,21.0
56,12.0,24.0,21.0
57,12.0,25.0,21.0
58,12.0,26.0,21.0
59,12.0,27.0,21.0
60,12.0,27.0,22.0
61,12.0,27.0,23.0
62,12.0,27.0,24.0
63,13.0,27.0,24.0
64,14.0,27.0,24.0
65,15.0,27.0,24.0
66,15.0,28.0,24.0
67,15.0,29.0,24.0
68,15.0,30.0,24.0
69,15.0,30.0,25.0
70,15.0,30.0,26.0
71,15.0,30.0,27.0
72,15.0,31.0,27.0
73,15.0,32.0,27.0
74,15.0,33.0,27.0
75,16.0,33.0,27.0
76,17.0,33.0,27.0
77,18.0,33.0,27.0
78,18.0,33.0,28.0
79,18.0,33.0,29.0
80,18.0,33.0,30.0
81,18.0,34.0,30.0
82,18.0,35.0,30.0
83,18.0,36.0,30.0
84,19.0,36.0,30.0
85,20.0,36.0,30.0
86,21.0,36.0,30.0
87,22.0,36.0,30.0
88,23.0,36.0,30.0
89,24.0,36.0,30.0
90,24.0,36.0,31.0
91,24.0,36.0,32.0
92,24.0,36.0,33.0
93,24.0,37.0,33.0
94,24.0,38.0,33.0
