,inaction,disengage,engage
0,-5.0,0.0,0.0
1,-6.666666666666667,0.0,0.0
2,-7.5,0.0,0.0
3,-7.5,-4.5,0.0
4,-7.5,-4.333333333333333,0.0
5,-7.5,-4.333333333333333,0.0
6,-7.5,-4.333333333333333,-4.5
7,-7.5,-4.333333333333333,-4.666666666666667
8,-7.5,-4.333333333333333,-4.25
9,-7.5,-5.5,-4.25
10,-7.5,-5.2,-4.25
11,-7.5,-5.2,-4.25
12,-7.5,-6.0,-4.25
13,-7.5,-5.857142857142857,-4.25
14,-7.5,-5.857142857142857,-4.25
15,-7.5,-6.0,-4.25
16,-7.5,-5.555555555555555,-4.25
17,-7.5,-5.555555555555555,-4.25
18,-7.5,-5.7,-4.25
19,-7.5,-5.363636363636363,-4.25
20,-7.5,-5.363636363636363,-4.25
21,-7.5,-5.666666666666667,-4.25
22,-7.5,-5.538461538461538,-4.25
23,-7.5,-5.538461538461538,-4.25
24,-7.5,-5.857142857142857,-4.25
25,-7.5,-5.8,-4.25
26,-7.5,-5.8,-4.25
27,-7.5,-6.0625,-4.25
28,-7.5,-6.0,-4.25
29,-7.5,-6.0,-4.25
30,-7.5,-6.166666666666667,-4.25
31,-7.5,-6.052631578947368,-4.25
32,-7.5,-6.052631578947368,-4.25
33,-7.5,-6.1,-4.25
34,-7.5,-5.904761904761905,-4.25
35,-7.5,-5.904761904761905,-4.25
36,-7.5,-5.954545454545454,-4.25
37,-7.5,-5.782608695652174,-4.25
38,-7.5,-5.782608695652174,-4.25
39,-7.4,-5.782608695652174,-4.25
40,-7.333333333333333,-5.782608695652174,-4.25
41,-7.285714285714286,-5.782608695652174,-4.25
42,-7.285714285714286,-5.833333333333333,-4.25
43,-7.285714285714286,-5.68,-4.25
44,-7.285714285714286,-5.68,-4.25
45,-7.285714285714286,-5.846153846153846,-4.25
46,-7.285714285714286,-5.814814814814815,-4.25
47,-7.285714285714286,-5.814814814814815,-4.25
48,-7.285714285714286,-5.892857142857143,-4.25
49,-7.285714285714286,-5.793103448275862,-4.25
50,-7.285714285714286,-5.793103448275862,-4.25
51,-7.285714285714286,-5.793103448275862,-4.8
52,-7.285714285714286,-5.793103448275862,-4.5
53,-7.285714285714286,-5.793103448275862,-4.0
54,-7.285714285714286,-5.833333333333333,-4.0
55,-7.285714285714286,-5.709677419354839,-4.0
56,-7.285714285714286,-5.709677419354839,-4.0
57,-7.285714285714286,-5.8125,-4.0
58,-7.285714285714286,-5.757575757575758,-4.0
59,-7.285714285714286,-5.757575757575758,-4.0
60,-7.285714285714286,-5.852941176470588,-4.0
61,-7.285714285714286,-5.8,-4.0
62,-7.285714285714286,-5.8,-4.0
63,-7.285714285714286,-5.888888888888889,-4.0
64,-7.285714285714286,-5.837837837837838,-4.0
65,-7.285714285714286,-5.837837837837838,-4.0
66,-7.285714285714286,-5.947368421052632,-4.0
67,-7.285714285714286,-5.923076923076923,-4.0
68,-7.285714285714286,-5.923076923076923,-4.0
